00DSEX,14-01-2018,6179.32,6185.82,6109.13,6117.90,32808300,,,,,,,,,,,,,,,
00DS30,14-01-2018,2260.25,2261.64,2239.23,2242.50,32808300,,,,,,,,,,,,,,,
00DSES,14-01-2018,1391.55,1394.41,1382.42,1384.33,32808300,,,,,,,,,,,,,,,
DSEX,14-01-2018,6179.32,6185.82,6109.13,6117.90,32808300,,,,,,,,,,,,,,,
DS30,14-01-2018,2260.25,2261.64,2239.23,2242.50,32808300,,,,,,,,,,,,,,,
DSES,14-01-2018,1391.55,1394.41,1382.42,1384.33,32808300,,,,,,,,,,,,,,,
1JANATAMF,14-01-2018,6.5,6.6,6.4,6.5,118897,,,,,,,,,,,,,,,
1STPRIMFMF,14-01-2018,15.3,15.3,15.1,15.2,205240,,,,,,,,,,,,,,,
AAMRANET,14-01-2018,90,90,87,88.1,251424,,,,,,,,,,,,,,,
AAMRATECH,14-01-2018,33.4,33.5,32.2,32.6,145968,,,,,,,,,,,,,,,
ABB1STMF,14-01-2018,6.4,6.4,6.3,6.3,417332,,,,,,,,,,,,,,,
ABBANK,14-01-2018,20.4,20.6,19.9,19.9,1543999,,,,,,,,,,,,,,,
ACI,14-01-2018,464.5,464.5,457,458.5,67934,,,,,,,,,,,,,,,
ACIFORMULA,14-01-2018,193.3,194.8,192.2,193.9,51930,,,,,,,,,,,,,,,
ACMELAB,14-01-2018,114.2,114.3,113.8,113.9,47888,,,,,,,,,,,,,,,
ACTIVEFINE,14-01-2018,35.1,35.2,34.5,34.6,287587,,,,,,,,,,,,,,,
AFCAGRO,14-01-2018,45.6,45.7,44.5,44.7,74391,,,,,,,,,,,,,,,
AFTABAUTO,14-01-2018,62.5,63.5,62.4,62.6,64229,,,,,,,,,,,,,,,
AGNISYSL,14-01-2018,22.3,22.3,21.9,22,123787,,,,,,,,,,,,,,,
AGRANINS,14-01-2018,20.5,20.5,20.4,20.4,8241,,,,,,,,,,,,,,,
AIBL1STIMF,14-01-2018,7.9,7.9,7.9,7.9,1290,,,,,,,,,,,,,,,
AIL,14-01-2018,119.1,119.3,107.2,107.2,186776,,,,,,,,,,,,,,,
ALARABANK,14-01-2018,25,25.1,24.7,24.9,900786,,,,,,,,,,,,,,,
AL-HAJTEX,14-01-2018,93.4,93.8,92.5,92.6,37878,,,,,,,,,,,,,,,
ALIF,14-01-2018,16.5,16.8,15.8,16.1,4822086,,,,,,,,,,,,,,,
ALLTEX,14-01-2018,11.6,11.8,11.5,11.7,30105,,,,,,,,,,,,,,,
AMANFEED,14-01-2018,63.2,63.2,62.3,62.5,73545,,,,,,,,,,,,,,,
AMBEEPHA,14-01-2018,382,398.9,382,390.1,792,,,,,,,,,,,,,,,
AMCL(PRAN),14-01-2018,225,225,221.1,221.7,41917,,,,,,,,,,,,,,,
ANLIMAYARN,14-01-2018,32.5,32.5,31.5,31.9,85049,,,,,,,,,,,,,,,
ANWARGALV,14-01-2018,76.2,78.2,75.9,77.7,294505,,,,,,,,,,,,,,,
APEXFOODS,14-01-2018,143.7,144,142,142,8863,,,,,,,,,,,,,,,
APEXFOOT,14-01-2018,320.3,320.3,316.1,316.7,5480,,,,,,,,,,,,,,,
APEXSPINN,14-01-2018,124,127,122.8,123.9,128284,,,,,,,,,,,,,,,
APEXTANRY,14-01-2018,146.9,146.9,144,144.7,21562,,,,,,,,,,,,,,,
APOLOISPAT,14-01-2018,16.7,16.7,16.5,16.5,455701,,,,,,,,,,,,,,,
ARAMIT,14-01-2018,353.2,353.2,343.5,343.6,4075,,,,,,,,,,,,,,,
ARAMITCEM ,14-01-2018,29.1,30.1,29.1,29.7,19154,,,,,,,,,,,,,,,
ARGONDENIM,14-01-2018,30.9,31.3,30.4,30.6,245988,,,,,,,,,,,,,,,
ASIAINS,14-01-2018,23,23,22.9,23,2834,,,,,,,,,,,,,,,
ASIAPACINS,14-01-2018,24.9,24.9,24.8,24.9,46800,,,,,,,,,,,,,,,
ATCSLGF,14-01-2018,11.6,11.6,11.5,11.5,110660,,,,,,,,,,,,,,,
ATLASBANG,14-01-2018,135.5,140.8,135.5,136.2,119978,,,,,,,,,,,,,,,
AZIZPIPES ,14-01-2018,165,174.7,165,172.2,109851,,,,,,,,,,,,,,,
BANGAS,14-01-2018,198,199.8,194.2,195.5,69178,,,,,,,,,,,,,,,
BANKASIA,14-01-2018,22.8,23.1,21.7,22.8,1272357,,,,,,,,,,,,,,,
BARKAPOWER,14-01-2018,36.9,37,36.2,36.3,331974,,,,,,,,,,,,,,,
BATASHOE,14-01-2018,1178,1180,1170,1179,4271,,,,,,,,,,,,,,,
BATBC,14-01-2018,3410,3410,3400.3,3400.4,270,,,,,,,,,,,,,,,
BAYLEASING,14-01-2018,28.6,28.6,27.4,27.6,181529,,,,,,,,,,,,,,,
BBS,14-01-2018,38.1,38.8,37.8,38,279200,,,,,,,,,,,,,,,
BBSCABLES,14-01-2018,107,107,103.8,104.1,245013,,,,,,,,,,,,,,,
BDAUTOCA,14-01-2018,123.5,132.9,123.5,131.5,337598,,,,,,,,,,,,,,,
BDCOM,14-01-2018,28,28,27.2,27.4,432282,,,,,,,,,,,,,,,
BDFINANCE,14-01-2018,21.9,22,21.4,21.6,1005940,,,,,,,,,,,,,,,
BDLAMPS,14-01-2018,175.3,178.8,175.3,176.4,2571,,,,,,,,,,,,,,,
BDTHAI,14-01-2018,31.3,31.9,30.5,31.2,4438190,,,,,,,,,,,,,,,
BDWELDING,14-01-2018,23.9,23.9,23.6,23.7,53595,,,,,,,,,,,,,,,
BEACHHATCH,14-01-2018,17,17,16.7,16.8,110141,,,,,,,,,,,,,,,
BEACONPHAR,14-01-2018,21.1,21.2,20.9,21.1,296158,,,,,,,,,,,,,,,
BENGALWTL,14-01-2018,40,40.3,38.7,38.8,16272,,,,,,,,,,,,,,,
